comida	食物；餐	La comida china es muy rica.	中国菜很好吃。	[sound:v1.m4a]
pan	面包	Como pan todos los días.	我每天吃面包。	[sound:v2.m4a]
agua	水	Bebo mucha agua.	我喝很多水。	[sound:v3.m4a]
café	咖啡	Me gusta el café con leche.	我喜欢加奶的咖啡。	[sound:v4.m4a]
leche	牛奶	Tomo leche por la mañana.	我早上喝牛奶。	[sound:v5.m4a]
fruta	水果	Me gusta la fruta.	我喜欢水果。	[sound:v6.m4a]
arroz	米饭	El arroz con pollo es mi favorito.	鸡肉米饭是我最喜欢的。	[sound:v7.m4a]
pollo	鸡肉	El pollo está muy rico.	这鸡肉很好吃。	[sound:v8.m4a]
pescado	鱼肉	El pescado es muy sano.	鱼肉很健康。	[sound:v9.m4a]
huevo	鸡蛋	Desayuno dos huevos.	我早餐吃两个鸡蛋。	[sound:v10.m4a]
ensalada	沙拉	Quiero una ensalada.	我想要一份沙拉。	[sound:v11.m4a]
verdura	蔬菜	Como mucha verdura.	我吃很多蔬菜。	[sound:v12.m4a]
