alto / alta	高的	José es alto.	何塞很高。	[sound:v1.m4a]
bajo / baja	矮的	María es un poco bajita.	玛丽亚有点矮。	[sound:v2.m4a]
guapo / guapa	漂亮的	Carlos es un chico guapo.	卡洛斯是个帅小伙。	[sound:v3.m4a]
delgado / delgada	瘦的	Ellos no son gorditos, son delgados.	他们不胖，他们很瘦。	[sound:v4.m4a]
gordo / gorda	胖的	El gato es gordo.	猫很胖。	[sound:v5.m4a]
moreno / morena	深色皮肤/头发的	Carlos es un chico moreno.	卡洛斯是个皮肤黝黑的男孩。	[sound:v6.m4a]
rubio / rubia	金发的	Sofía es rubia.	索菲亚是金发。	[sound:v7.m4a]
simpático / simpática	和蔼的	Su abuela es muy simpática.	她奶奶非常和蔼。	[sound:v8.m4a]
amable	可爱的，友善的	Lucas es muy amable.	卢卡斯非常友善。	[sound:v9.m4a]
alegre	开朗的	Mi hermano es alegre.	我弟弟很开朗。	[sound:v10.m4a]
tímido / tímida	腼腆的	Los chinos son tímidos.	中国人很腼腆。	[sound:v11.m4a]
serio / seria	严肃的	El padre de Laura es serio.	劳拉的爸爸很严肃。	[sound:v12.m4a]
