color	颜色	¿De qué color es tu coche?	你的车是什么颜色？	[sound:v1.m4a]
rojo	红色的	Tengo un coche rojo.	我有一辆红色的车。	[sound:v2.m4a]
azul	蓝色的	El cielo es azul.	天空是蓝色的。	[sound:v3.m4a]
verde	绿色的	Me gusta el té verde.	我喜欢绿茶。	[sound:v4.m4a]
amarillo	黄色的	El sol es amarillo.	太阳是黄色的。	[sound:v5.m4a]
blanco	白色的	La nieve es blanca.	雪是白色的。	[sound:v6.m4a]
negro	黑色的	Me gusta el café negro.	我喜欢黑咖啡。	[sound:v7.m4a]
naranja	橙色的	La naranja es naranja.	橙子是橙色的。	[sound:v8.m4a]
rosa	粉红色的	La rosa es rosa.	玫瑰是粉红色的。	[sound:v9.m4a]
marrón	棕色的	Tengo los ojos marrones.	我有棕色的眼睛。	[sound:v10.m4a]
gris	灰色的	El gato es gris.	这只猫是灰色的。	[sound:v11.m4a]
morado	紫色的	Me gusta la falda morada.	我喜欢这条紫色的裙子。	[sound:v12.m4a]
